,tweet_id,name,type,rating_numerator,rating_denominator,rating
0,892420643555336193,Phineas,None,13,10,1.3
1,892177421306343426,Tilly,None,13,10,1.3
2,891815181378084864,Archie,None,12,10,1.2
3,891689557279858688,Darla,None,13,10,1.3
4,891327558926688256,Franklin,None,12,10,1.2
5,891087950875897856,None,None,13,10,1.3
6,890971913173991426,Jax,None,13,10,1.3
7,890729181411237888,None,None,13,10,1.3
8,890609185150312448,Zoey,None,13,10,1.3
9,890240255349198849,Cassie,doggo,14,10,1.4
10,890006608113172480,Koda,None,13,10,1.3
11,889880896479866881,Bruno,None,13,10,1.3
12,889665388333682689,None,puppo,13,10,1.3
13,889638837579907072,Ted,None,12,10,1.2
14,889531135344209921,Stuart,puppo,13,10,1.3
15,889278841981685760,Oliver,None,13,10,1.3
16,888917238123831296,Jim,None,12,10,1.2
17,888804989199671297,Zeke,None,13,10,1.3
18,888554962724278272,Ralphus,None,13,10,1.3
20,888078434458587136,Gerald,None,12,10,1.2
21,887705289381826560,Jeffrey,None,13,10,1.3
22,887517139158093824,such,None,14,10,1.4
23,887473957103951883,Canela,None,13,10,1.3
24,887343217045368832,None,None,13,10,1.3
25,887101392804085760,None,None,12,10,1.2
26,886983233522544640,Maya,None,13,10,1.3
27,886736880519319552,Mingus,None,13,10,1.3
28,886680336477933568,Derek,None,13,10,1.3
29,886366144734445568,Roscoe,pupper,12,10,1.2
30,886267009285017600,None,None,12,10,1.2
31,886258384151887873,Waffles,None,13,10,1.3
33,885984800019947520,Jimbo,None,12,10,1.2
34,885528943205470208,Maisey,None,13,10,1.3
35,885518971528720385,None,None,14,10,1.4
37,885167619883638784,None,None,13,10,1.3
38,884925521741709313,Earl,None,12,10,1.2
39,884876753390489601,Lola,None,13,10,1.3
40,884562892145688576,Kevin,None,13,10,1.3
41,884441805382717440,None,None,14,10,1.4
42,884247878851493888,None,None,13,10,1.3
43,884162670584377345,Yogi,doggo,12,10,1.2
44,883838122936631299,Noah,None,12,10,1.2
45,883482846933004288,Bella,None,5,10,0.5
46,883360690899218434,Grizzwald,floofer,13,10,1.3
47,883117836046086144,None,None,13,10,1.3
48,882992080364220416,Rusty,None,13,10,1.3
49,882762694511734784,Gus,pupper,12,10,1.2
50,882627270321602560,Stanley,None,13,10,1.3
51,882268110199369728,Alfy,None,13,10,1.3
52,882045870035918850,Koko,None,13,10,1.3
53,881906580714921986,Rey,None,12,10,1.2
54,881666595344535552,Gary,None,13,10,1.3
55,881633300179243008,None,None,17,10,1.7
56,881536004380872706,a,pupper,14,10,1.4
57,881268444196462592,Elliot,None,12,10,1.2
58,880935762899988482,Louis,None,13,10,1.3
59,880872448815771648,None,None,12,10,1.2
60,880465832366813184,Bella,None,12,10,1.2
61,880221127280381952,Jesse,None,12,10,1.2
62,880095782870896641,None,None,11,10,1.1
63,879862464715927552,Romeo,None,13,10,1.3
64,879674319642796034,None,None,14,10,1.4
65,879492040517615616,Bailey,None,12,10,1.2
66,879415818425184262,Duddles,None,13,10,1.3
67,879376492567855104,Jack,None,12,10,1.2
69,879050749262655488,Steven,None,11,10,1.1
70,879008229531029506,Beau,None,13,10,1.3
71,878776093423087618,Snoopy,puppo,13,10,1.3
72,878604707211726852,None,None,13,10,1.3
75,878281511006478336,Shadow,None,13,10,1.3
76,878057613040115712,Emmy,None,14,10,1.4
77,877736472329191424,Aja,None,13,10,1.3
79,877556246731214848,Penny,None,12,10,1.2
80,877316821321428993,Dante,None,13,10,1.3
81,877201837425926144,Nelly,None,12,10,1.2
82,876838120628539392,Ginger,pupper,12,10,1.2
83,876537666061221889,None,None,14,10,1.4
84,876484053909872640,Benedict,None,13,10,1.3
85,876120275196170240,Venti,None,13,10,1.3
86,875747767867523072,Goose,None,13,10,1.3
87,875144289856114688,Nugget,None,13,10,1.3
88,875097192612077568,None,None,13,10,1.3
89,875021211251597312,None,None,12,10,1.2
90,874680097055178752,Cash,None,12,10,1.2
92,874296783580663808,Jed,pupper,13,10,1.3
93,874057562936811520,None,None,12,10,1.2
94,874012996292530176,Sebastian,puppo,13,10,1.3
96,873580283840344065,None,None,13,10,1.3
98,873213775632977920,Sierra,pupper,12,10,1.2
99,872967104147763200,None,doggo,12,10,1.2
100,872820683541237760,None,None,13,10,1.3
102,872620804844003328,Monkey,None,13,10,1.3
103,872486979161796608,None,None,12,10,1.2
104,872261713294495745,Harry,None,13,10,1.3
105,872122724285648897,Kody,None,12,10,1.2
106,871879754684805121,Lassie,None,13,10,1.3
107,871762521631449091,Rover,pupper,12,10,1.2
108,871515927908634625,Napolean,doggo,12,10,1.2
110,871102520638267392,None,doggo,14,10,1.4
111,871032628920680449,Boomer,None,13,10,1.3
112,870804317367881728,None,None,11,10,1.1
113,870726314365509632,None,None,10,10,1.0
114,870656317836468226,Cody,None,13,10,1.3
115,870374049280663552,Zoey,None,13,10,1.3
116,870308999962521604,Rumble,None,13,10,1.3
117,870063196459192321,Clifford,None,14,10,1.4
119,869772420881756160,Dewey,None,13,10,1.3
120,869702957897576449,Stanley,None,13,10,1.3
121,869596645499047938,Scout,doggo,12,10,1.2
122,869227993411051520,Gizmo,None,13,10,1.3
123,868880397819494401,Walter,None,14,10,1.4
125,868622495443632128,None,None,13,10,1.3
